protocol,IP_present,url_length,dots_in_url,domain_length,number_of_domains,hyphen_count_in_domain,largest_domain_length,avg_domain_length,directory_length,sub_directory_count,largest_directory_length,avg_directory_length,suspicious_TLD,file_name_length,dost_file_name,delims_file_name,argument_length,number_of_arguments,largest_arg_length,max_delims_in_args,created_days_ago,updated_days_ago,expiration_days_remain,zipcode,label
1.0,0.0,165.0,1.0,13.0,2.0,0.0,9.0,6.0,71.0,2.0,63.0,34.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,4102.0,642.0,1186.0,85260.0,1.0
0.0,0.0,31.0,4.0,30.0,5.0,0.0,7.0,5.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8239.0,1393.0,161.0,19103.0,0.0
0.0,0.0,37.0,3.0,19.0,3.0,0.0,11.0,5.666666666666667,8.0,2.0,5.0,2.5,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,5205.0,106.0,274.0,60647.0,0.0
0.0,0.0,79.0,1.0,11.0,2.0,0.0,7.0,5.0,68.0,5.0,26.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,0.0,99.0,2.0,10.0,2.0,0.0,6.0,4.5,6.0,1.0,4.0,4.0,0.0,9.0,1.0,0.0,74.0,9.0,8.0,0.0,983.0,239.0,113.0,1803.0,1.0
0.0,0.0,53.0,1.0,21.0,2.0,0.0,17.0,10.0,32.0,5.0,11.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0
0.0,0.0,100.0,2.0,10.0,2.0,0.0,6.0,4.5,6.0,1.0,4.0,4.0,0.0,9.0,1.0,0.0,75.0,9.0,8.0,0.0,983.0,239.0,113.0,1803.0,1.0
0.0,0.0,70.0,5.0,25.0,3.0,0.0,17.0,7.666666666666667,35.0,4.0,17.0,7.5,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2983.0,68.0,305.0,98083.0,0.0
0.0,0.0,64.0,5.0,20.0,3.0,1.0,13.0,6.0,16.0,2.0,7.0,6.5,0.0,28.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,83.0,1.0,8.0,2.0,0.0,4.0,3.5,7.0,1.0,5.0,5.0,0.0,68.0,0.0,11.0,0.0,0.0,0.0,0.0,7360.0,230.0,3179.0,-1.0,1.0
0.0,0.0,44.0,6.0,27.0,6.0,0.0,6.0,3.6666666666666665,10.0,2.0,5.0,3.5,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,33.0,2.0,13.0,2.0,0.0,9.0,6.0,6.0,1.0,4.0,4.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,4097.0,62.0,286.0,1017.0,0.0
0.0,0.0,77.0,1.0,14.0,2.0,0.0,11.0,6.5,63.0,4.0,48.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,88.0,6.0,15.0,3.0,0.0,8.0,4.333333333333333,53.0,7.0,18.0,6.428571428571429,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,5384.0,-1.0,3017.0,-1.0,0.0
0.0,0.0,103.0,2.0,10.0,2.0,0.0,6.0,4.5,6.0,1.0,4.0,4.0,0.0,9.0,1.0,0.0,78.0,9.0,8.0,0.0,983.0,239.0,113.0,1803.0,1.0
0.0,0.0,106.0,2.0,27.0,2.0,0.0,24.0,13.0,65.0,9.0,11.0,6.111111111111111,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2782.0,62.0,140.0,-1.0,0.0
0.0,0.0,132.0,1.0,9.0,2.0,0.0,6.0,4.0,6.0,1.0,4.0,4.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,93.0,2.0,9.0,3.0,0.0,3.0,2.3333333333333335,20.0,2.0,9.0,8.5,0.0,0.0,0.0,0.0,64.0,3.0,12.0,1.0,4230.0,240.0,157.0,-1.0,1.0
0.0,0.0,81.0,1.0,7.0,2.0,0.0,3.0,3.0,17.0,2.0,8.0,7.0,0.0,57.0,0.0,8.0,0.0,0.0,0.0,0.0,9695.0,407.0,1992.0,981081226.0,1.0
0.0,0.0,191.0,10.0,71.0,11.0,2.0,10.0,5.545454545454546,120.0,1.0,118.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0
0.0,0.0,34.0,2.0,17.0,2.0,0.0,13.0,8.0,9.0,2.0,3.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,5117.0,2.0,362.0,75013.0,0.0
0.0,0.0,225.0,1.0,9.0,2.0,0.0,5.0,4.0,18.0,3.0,6.0,4.666666666666667,0.0,198.0,0.0,6.0,0.0,0.0,0.0,0.0,2584.0,26.0,338.0,-1.0,1.0
0.0,0.0,78.0,1.0,11.0,2.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,66.0,0.0,11.0,0.0,0.0,0.0,0.0,6498.0,294.0,77.0,10036.0,1.0
0.0,0.0,51.0,1.0,17.0,2.0,0.0,14.0,8.0,34.0,4.0,10.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4375.0,-1.0,1558.0,-1.0,0.0
0.0,0.0,150.0,1.0,9.0,2.0,0.0,6.0,4.0,6.0,1.0,4.0,4.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
